Time(s),Lead3ElectricPotential(mV),HeartRate(1/min),ArterialPressure(mmHg),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),OxygenSaturation,RespirationRate(1/min),SkinTemperature(degC),Carina-CarbonDioxide-PartialPressure(mmHg)
2.10,0.145,73.17,109.4,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.12,0.183,73.17,111.3,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.14,0.201,73.17,112.6,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.16,0.209,73.17,113.4,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.18,0.139,73.17,113.7,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.20,0.050,73.17,113.7,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.22,-0.018,73.17,113.4,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.24,-0.037,73.17,112.6,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.26,-0.037,73.17,110.7,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.28,0,73.17,108.8,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.30,0,73.17,106.9,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.32,0,73.17,105.1,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.34,0,73.17,103.3,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.36,0,73.17,101.5,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.38,0,73.17,99.8,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.40,0,73.17,98.1,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.42,0,73.17,96.5,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.44,0,73.17,94.9,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.46,0,73.17,93.4,94.7,113.7,73.0,0.973,15.96,33.1,0.3
2.48,0,73.17,91.8,94.7,113.7,73.0,0.973,15.96,33.1,0.7
2.50,0,73.17,90.4,94.7,113.7,73.0,0.973,15.96,33.1,1.5
2.52,0,73.17,88.9,94.7,113.7,73.0,0.973,15.96,33.1,2.4
2.54,-0.039,73.17,87.5,94.7,113.7,73.0,0.973,15.96,33.1,3.5
2.56,-0.004,73.17,86.1,94.7,113.7,73.0,0.973,15.96,33.1,4.6
2.58,0.068,73.17,84.8,94.7,113.7,73.0,0.973,15.96,33.1,5.7
2.60,0.002,73.17,83.4,94.7,113.7,73.0,0.973,15.96,33.1,6.7
2.62,-0.050,73.17,82.1,94.7,113.7,73.0,0.973,15.96,33.1,7.7
2.64,-0.071,73.17,80.9,94.7,113.7,73.0,0.973,15.96,33.1,8.6
2.66,-0.081,73.17,79.7,94.7,113.7,73.0,0.973,15.96,33.1,9.4
2.68,-0.074,73.17,78.5,94.7,113.7,73.0,0.973,15.96,33.1,10.2
2.70,0.175,73.17,77.3,94.7,113.7,73.0,0.973,15.96,33.1,11.0
2.72,0.668,73.17,76.2,94.7,113.7,73.0,0.973,15.96,33.1,11.7
2.74,-0.077,73.17,75.0,94.7,113.7,73.0,0.973,15.96,33.1,12.4
2.76,-0.038,73.17,73.9,94.7,113.7,73.0,0.973,15.96,33.1,13.0
2.78,-0.035,73.17,73.0,94.7,113.7,73.0,0.973,15.96,33.1,13.6
2.80,-0.033,73.17,76.1,94.7,113.7,73.0,0.973,15.96,33.1,14.2
2.82,-0.018,73.17,81.4,94.7,113.7,73.0,0.973,15.96,33.1,14.7
2.84,-0.007,73.17,87.5,94.7,113.7,73.0,0.973,15.96,33.1,15.2
2.86,0.010,73.17,93.5,94.7,113.7,73.0,0.973,15.96,33.1,15.7
2.88,0.032,73.17,98.8,94.7,113.7,73.0,0.973,15.96,33.1,16.2
2.90,0.063,73.17,103.3,94.7,113.7,73.0,0.973,15.96,33.1,16.6
2.92,0.096,73.17,106.8,94.7,113.7,73.0,0.973,15.96,33.1,17.1
2.94,0.145,73.17,109.4,94.7,113.7,73.0,0.973,15.96,33.1,17.5
2.96,0.183,73.17,111.3,94.7,113.7,73.0,0.973,15.96,33.1,17.9
2.98,0.201,73.17,112.6,94.7,113.7,73.0,0.973,15.96,33.1,18.3
3.00,0.209,73.17,113.3,94.7,113.7,73.0,0.973,15.96,33.1,18.6
3.02,0.139,73.17,113.7,94.7,113.7,73.0,0.973,15.96,33.1,19.0
3.04,0.050,73.17,113.7,94.7,113.7,73.0,0.973,15.96,33.1,19.3
3.06,-0.018,73.17,113.4,94.7,113.7,73.0,0.973,15.96,33.1,19.6
3.08,-0.037,73.17,112.6,94.7,113.7,73.0,0.973,15.96,33.1,19.9
3.10,-0.037,73.17,110.7,94.7,113.7,73.0,0.973,15.96,33.1,20.2
3.12,0,73.17,108.8,94.7,113.7,73.0,0.973,15.96,33.1,20.5
3.14,0,73.17,106.9,94.7,113.7,73.0,0.973,15.96,33.1,20.7
3.16,0,73.17,105.1,94.7,113.7,73.0,0.973,15.96,33.1,21.0
3.18,0,73.17,103.3,94.7,113.7,73.0,0.973,15.96,33.1,21.2
3.20,0,73.17,101.5,94.7,113.7,73.0,0.973,15.96,33.1,21.5
3.22,0,73.17,99.8,94.7,113.7,73.0,0.973,15.96,33.1,21.7
3.24,0,73.17,98.1,94.7,113.7,73.0,0.973,15.96,33.1,21.9
3.26,0,73.17,96.5,94.7,113.7,73.0,0.973,15.96,33.1,22.1
3.28,0,73.17,94.9,94.7,113.7,73.0,0.973,15.96,33.1,22.3
3.30,0,73.17,93.3,94.7,113.7,73.0,0.973,15.96,33.1,22.5
3.32,0,73.17,91.8,94.7,113.7,73.0,0.973,15.96,33.1,22.7
3.34,0,73.17,90.3,94.7,113.7,73.0,0.973,15.96,33.1,22.9
3.36,0,73.17,88.9,94.7,113.7,73.0,0.973,15.96,33.1,23.0
3.38,-0.039,73.17,87.5,94.7,113.7,73.0,0.973,15.96,33.1,23.2
3.40,-0.004,73.17,86.1,94.7,113.7,73.0,0.973,15.96,33.1,23.4
3.42,0.068,73.17,84.7,94.7,113.7,73.0,0.973,15.96,33.1,23.5
3.44,0.002,73.17,83.4,94.7,113.7,73.0,0.973,15.96,33.1,23.6
3.46,-0.050,73.17,82.1,94.7,113.7,73.0,0.973,15.96,33.1,23.8
3.48,-0.071,73.17,80.9,94.7,113.7,73.0,0.973,15.96,33.1,23.9
3.50,-0.081,73.17,79.7,94.7,113.7,73.0,0.973,15.96,33.1,24.0
3.52,-0.074,73.17,78.5,94.7,113.7,73.0,0.973,15.96,33.1,24.2
3.54,0.175,73.17,77.3,94.7,113.7,73.0,0.973,15.96,33.1,24.3
3.56,0.668,73.17,76.2,94.7,113.7,73.0,0.973,15.96,33.1,24.4
3.58,-0.077,73.17,75.0,94.7,113.7,73.0,0.973,15.96,33.1,24.5
3.60,-0.038,73.17,73.9,94.7,113.7,73.0,0.973,15.96,33.1,24.6
3.62,-0.035,73.17,73.0,94.7,113.7,73.0,0.973,15.96,33.1,24.7
3.64,-0.033,73.17,76.1,94.7,113.7,73.0,0.973,15.96,33.1,24.8
3.66,-0.018,73.17,81.4,94.7,113.7,73.0,0.973,15.96,33.1,24.9
3.68,-0.007,73.17,87.5,94.7,113.7,73.0,0.973,15.96,33.1,25.0
3.70,0.010,73.17,93.5,94.7,113.7,73.0,0.973,15.96,33.1,25.1
3.72,0.032,73.17,98.8,94.7,113.7,73.0,0.973,15.96,33.1,25.2
3.74,0.063,73.17,103.3,94.7,113.7,73.0,0.973,15.96,33.1,25.2
3.76,0.096,73.17,106.8,94.7,113.7,73.0,0.973,15.96,33.1,25.3
3.78,0.145,73.17,109.4,94.7,113.7,73.0,0.973,15.96,33.1,25.4
3.80,0.183,73.17,111.3,94.7,113.7,73.0,0.973,15.96,33.1,25.5
3.82,0.201,73.17,112.6,94.7,113.7,73.0,0.973,15.96,33.1,25.5
3.84,0.209,73.17,113.3,94.7,113.7,73.0,0.973,15.96,33.1,25.6
3.86,0.139,73.17,113.7,94.7,113.7,73.0,0.973,15.96,33.1,25.7
3.88,0.050,73.17,113.7,94.7,113.7,73.0,0.973,15.96,33.1,25.7
3.90,-0.018,73.17,113.4,94.7,113.7,73.0,0.973,15.96,33.1,25.8
3.92,-0.037,73.17,112.6,94.7,113.7,73.0,0.973,15.96,33.1,25.8
3.94,-0.037,73.17,110.7,94.7,113.7,73.0,0.973,15.96,33.1,25.9
3.96,0,73.17,108.8,94.7,113.7,73.0,0.973,15.96,33.1,25.9
3.98,0,73.17,106.9,94.7,113.7,73.0,0.973,15.96,33.1,26.0
4.00,0,73.17,105.1,94.7,113.7,73.0,0.973,15.96,33.1,26.0
4.02,0,73.17,103.3,94.7,113.7,73.0,0.973,15.96,33.1,26.1
4.04,0,73.17,101.5,94.7,113.7,73.0,0.973,15.96,33.1,26.1
4.06,0,73.17,99.8,94.7,113.7,73.0,0.973,15.96,33.1,26.2
4.08,0,73.17,98.1,94.7,113.7,73.0,0.973,15.96,33.1,26.2
4.10,0,73.17,96.5,94.7,113.7,73.0,0.973,15.96,33.1,26.3
4.12,0,73.17,94.9,94.7,113.7,73.0,0.973,15.96,33.1,26.3
4.14,0,73.17,93.3,94.7,113.7,73.0,0.973,15.96,33.1,26.3
4.16,0,73.17,91.8,94.7,113.7,73.0,0.973,15.96,33.1,26.4
4.18,0,73.17,90.3,94.7,113.7,73.0,0.973,15.96,33.1,26.4
4.20,0,73.17,88.9,94.7,113.7,73.0,0.973,15.96,33.1,26.5
4.22,-0.039,73.17,87.5,94.7,113.7,73.0,0.973,15.96,33.1,26.5
4.24,-0.004,73.17,86.1,94.7,113.7,73.0,0.973,15.96,33.1,26.5
4.26,0.068,73.17,84.7,94.7,113.7,73.0,0.973,15.96,33.1,26.6
4.28,0.002,73.17,83.4,94.7,113.7,73.0,0.973,15.96,33.1,26.6
4.30,-0.050,73.17,82.1,94.7,113.7,73.0,0.973,15.96,33.1,26.6
4.32,-0.071,73.17,80.9,94.7,113.7,73.0,0.973,15.96,33.1,26.6
4.34,-0.081,73.17,79.7,94.7,113.7,73.0,0.973,15.96,33.1,26.7
4.36,-0.074,73.17,78.5,94.7,113.7,73.0,0.973,15.96,33.1,26.7
4.38,0.175,73.17,77.3,94.7,113.7,73.0,0.973,15.96,33.1,26.7
4.40,0.668,73.17,76.1,94.7,113.7,73.0,0.973,15.96,33.1,26.7
4.42,-0.077,73.17,75.0,94.7,113.7,73.0,0.973,15.96,33.1,26.8
4.44,-0.038,73.17,73.9,94.7,113.7,73.0,0.973,15.96,33.1,26.8
4.46,-0.035,73.17,73.0,94.7,113.7,73.0,0.973,15.96,33.1,26.8
4.48,-0.033,73.17,76.1,94.7,113.7,73.0,0.973,15.96,33.1,26.8
4.50,-0.018,73.17,81.4,94.7,113.7,73.0,0.973,15.96,33.1,26.9
4.52,-0.007,73.17,87.5,94.7,113.7,73.0,0.973,15.96,33.1,26.9
4.54,0.010,73.17,93.5,94.7,113.7,73.0,0.973,15.96,33.1,26.9
4.56,0.032,73.17,98.8,94.7,113.7,73.0,0.973,15.96,33.1,26.9
4.58,0.063,73.17,103.3,94.7,113.7,73.0,0.973,15.96,33.1,26.9
4.60,0.096,73.17,106.8,94.7,113.7,73.0,0.973,15.96,33.1,27.0
4.62,0.145,73.17,109.4,94.7,113.7,73.0,0.973,15.96,33.1,27.0
4.64,0.183,73.17,111.3,94.7,113.7,73.0,0.973,15.96,33.1,27.0
4.66,0.201,73.17,112.6,94.7,113.7,73.0,0.973,15.96,33.1,27.0
4.68,0.209,73.17,113.3,94.7,113.7,73.0,0.973,15.96,33.1,27.0
4.70,0.139,73.17,113.7,94.7,113.7,73.0,0.973,15.96,33.1,27.0
4.72,0.050,73.17,113.7,94.7,113.7,73.0,0.973,15.96,33.1,27.1
4.74,-0.018,73.17,113.4,94.7,113.7,73.0,0.973,15.96,33.1,27.1
4.76,-0.037,73.17,112.5,94.7,113.7,73.0,0.973,15.96,33.1,27.1
4.78,-0.037,73.17,110.7,94.7,113.7,73.0,0.973,15.96,33.1,27.1
4.80,0,73.17,108.8,94.7,113.7,73.0,0.973,15.96,33.1,27.1
4.82,0,73.17,106.9,94.7,113.7,73.0,0.973,15.96,33.1,27.1
4.84,0,73.17,105.1,94.7,113.7,73.0,0.973,15.96,33.1,27.1
4.86,0,73.17,103.3,94.7,113.7,73.0,0.973,15.96,33.1,27.1
4.88,0,73.17,101.5,94.7,113.7,73.0,0.973,15.96,33.1,27.2
4.90,0,73.17,99.8,94.7,113.7,73.0,0.973,15.96,33.1,27.2
4.92,0,73.17,98.1,94.7,113.7,73.0,0.973,15.96,33.1,27.2
4.94,0,73.17,96.5,94.7,113.7,73.0,0.973,15.96,33.1,27.2
4.96,0,73.17,94.9,94.7,113.7,73.0,0.973,15.96,33.1,27.2
4.98,0,73.17,93.3,94.7,113.7,73.0,0.973,15.96,33.1,27.2
5.00,0,73.17,91.8,94.7,113.7,73.0,0.973,15.96,33.1,27.1
5.02,0,73.17,90.3,94.7,113.7,73.0,0.973,15.96,33.1,26.4
5.04,0,73.17,88.9,94.7,113.7,73.0,0.973,15.96,33.1,24.8
5.06,-0.039,73.17,87.5,94.7,113.7,73.0,0.973,15.96,33.1,22.5
5.08,-0.004,73.17,86.1,94.7,113.7,73.0,0.973,15.96,33.1,19.6
5.10,0.068,73.17,84.7,94.7,113.7,73.0,0.973,15.96,33.1,16.6
5.12,0.002,73.17,83.4,94.7,113.7,73.0,0.973,15.96,33.1,13.8
5.14,-0.050,73.17,82.1,94.7,113.7,73.0,0.973,15.96,33.1,11.2
5.16,-0.071,73.17,80.9,94.7,113.7,73.0,0.973,15.96,33.1,8.9
5.18,-0.081,73.17,79.7,94.7,113.7,73.0,0.973,15.96,33.1,7.1
5.20,-0.074,73.17,78.5,94.7,113.7,73.0,0.973,15.96,33.1,5.6
5.22,0.175,73.17,77.3,94.7,113.7,73.0,0.973,15.96,33.1,4.4
5.24,0.668,73.17,76.1,94.7,113.7,73.0,0.973,15.96,33.1,3.5
5.26,-0.077,73.17,75.0,94.7,113.7,73.0,0.973,15.96,33.1,2.8
5.28,-0.038,73.17,73.9,94.7,113.7,73.0,0.973,15.96,33.1,2.2
5.30,-0.035,73.17,73.0,94.7,113.7,73.0,0.973,15.96,33.1,1.8
5.32,-0.033,73.17,76.1,94.7,113.7,73.0,0.973,15.96,33.1,1.4
5.34,-0.018,73.17,81.4,94.7,113.7,73.0,0.973,15.96,33.1,1.2
5.36,-0.007,73.17,87.5,94.7,113.7,73.0,0.973,15.96,33.1,1.0
5.38,0.010,73.17,93.5,94.7,113.7,73.0,0.973,15.96,33.1,0.8
5.40,0.032,73.17,98.8,94.7,113.7,73.0,0.973,15.96,33.1,0.7
5.42,0.063,73.17,103.3,94.7,113.7,73.0,0.973,15.96,33.1,0.6
5.44,0.096,73.17,106.8,94.7,113.7,73.0,0.973,15.96,33.1,0.6
5.46,0.145,73.17,109.4,94.7,113.7,73.0,0.973,15.96,33.1,0.5
5.48,0.183,73.17,111.3,94.7,113.7,73.0,0.973,15.96,33.1,0.5
5.50,0.201,73.17,112.6,94.7,113.7,73.0,0.973,15.96,33.1,0.4
5.52,0.209,73.17,113.3,94.7,113.7,73.0,0.973,15.96,33.1,0.4
5.54,0.139,73.17,113.7,94.7,113.7,73.0,0.973,15.96,33.1,0.4
5.56,0.050,73.17,113.7,94.7,113.7,73.0,0.973,15.96,33.1,0.4
5.58,-0.018,73.17,113.4,94.7,113.7,73.0,0.973,15.96,33.1,0.4
5.60,-0.037,73.17,112.5,94.7,113.7,73.0,0.973,15.96,33.1,0.4
5.62,-0.037,73.17,110.7,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.64,0,73.17,108.8,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.66,0,73.17,106.9,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.68,0,73.17,105.1,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.70,0,73.17,103.3,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.72,0,73.17,101.5,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.74,0,73.17,99.8,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.76,0,73.17,98.1,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.78,0,73.17,96.5,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.80,0,73.17,94.9,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.82,0,73.17,93.3,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.84,0,73.17,91.8,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.86,0,73.17,90.3,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.88,0,73.17,88.9,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.90,-0.039,73.17,87.5,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.92,-0.004,73.17,86.1,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.94,0.068,73.17,84.7,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.96,0.002,73.17,83.4,94.7,113.7,73.0,0.973,15.96,33.1,0.3
5.98,-0.050,73.17,82.1,94.7,113.7,73.0,0.973,15.96,33.1,0.3
6.00,-0.071,73.17,80.9,94.7,113.7,73.0,0.973,15.96,33.1,0.3
6.02,-0.081,73.17,79.6,94.7,113.7,73.0,0.973,15.96,33.1,0.3
6.04,-0.074,73.17,78.5,94.7,113.7,73.0,0.973,15.96,33.1,0.3
6.06,0.175,73.17,77.3,94.7,113.7,73.0,0.973,15.96,33.1,0.3
6.08,0.668,73.17,76.1,94.7,113.7,73.0,0.973,15.96,33.1,0.3
6.10,-0.077,73.17,75.0,94.7,113.7,73.0,0.973,15.96,33.1,0.3
6.12,-0.038,73.17,73.9,94.7,113.7,73.0,0.973,15.96,33.1,0.3
6.14,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.1,0.3
6.16,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,0.3
6.18,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.1,0.3
6.20,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,0.3
6.22,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.1,0.3
6.24,0.032,73.17,98.8,94.6,113.7,73.0,0.973,15.96,33.1,0.7
